node,          n14l,      n14t,    n14h,    n7l,       n7t,     n7h
cycle_time,    0.40,      0.34,    0.28,   0.35,      0.30,    0.25
fetch,         5.00,      7.50,   10.00,   2.00,      3.00,    4.00
decode,        2.00,      3.50,    5.00,   1.00,      2.00,    3.00
dispatch,      3.00,      5.00,    7.00,   1.00,      2.00,    3.00
reg_read,      0.20,      0.30,    0.40,   0.10,      0.20,    0.30
reg_write,     0.30,      0.45,    0.60,   0.15,      0.30,    0.45
l1_read,       1.00,      2.00,    3.00,   1.00,      1.75,    2.50
l1_write,      2.00,      3.00,    4.00,   2.00,      3.00,    4.00
l2_read,       2.00,      4.00,    6.00,   2.00,      4.00,    6.00
l2_write,      4.00,      6.00,    8.00,   4.00,      6.00,    8.00
l3_read,       4.00,      6.00,    8.00,   4.00,      6.00,    8.00
l3_write,      8.00,     12.00,   16.00,   8.00,     12.00,   16.00
mem_read,     10.00,     15.00,   20.00,  10.00,     15.00,   20.00
mem_write,    15.00,     20.00,   25.00,  15.00,     20.00,   25.00